experiment,model,variant,context_len,root_exit,eval_tokens_s,pred_tokens_s,post_recovery_tokens_s,avg_pred_ms_after_apply,reject_count,output_dir
shadow_kv_ablation,3B,with_shadow_kv,4096,0,0.0,0.0,0.7818125707231767,1279.078947368421,0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/shadow_kv_ablation/3B/with_shadow_kv
shadow_kv_ablation,3B,without_shadow_trans,4096,0,0.0,0.0,0.5819327011946736,1718.4117647058824,0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/shadow_kv_ablation/3B/without_shadow_trans
shadow_kv_ablation,3B,without_shadow_recompute,4096,0,0.0,0.0,1.120295515790111,892.6216216216217,0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/shadow_kv_ablation/3B/without_shadow_recompute
shadow_kv_ablation,8B,with_shadow_kv,4096,0,0.0,0.0,0.5025989657042338,1989.657894736842,0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/shadow_kv_ablation/8B/with_shadow_kv
shadow_kv_ablation,8B,without_shadow_trans,4096,0,0.0,0.0,0.2691872851308635,3714.885714285714,0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/shadow_kv_ablation/8B/without_shadow_trans
shadow_kv_ablation,8B,without_shadow_recompute,4096,0,0.0,0.0,0.3049367657443667,3279.3684210526317,0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/shadow_kv_ablation/8B/without_shadow_recompute
context_length_sensitivity,3B,state_microbench,0,0,0.0,0.0,1.2609204719445195,793.0714285714286,0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
context_length_sensitivity,8B,state_microbench,0,139,0.0,0.0,0.5543127511729654,1804.0357142857142,0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/8B/state_microbench
pointer_swizzling_ablation,3B,with_pointer_swizzling,4096,0,0.0,0.0,0.9472900737532987,1055.642857142857,0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/pointer_swizzling_ablation/3B/with_pointer_swizzling
pointer_swizzling_ablation,3B,without_pointer_operator_rebind,4096,0,0.0,0.0,1.4525081703584584,688.4642857142857,0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/pointer_swizzling_ablation/3B/without_pointer_operator_rebind
pointer_swizzling_ablation,3B,without_pointer_weight_rebind,4096,0,0.0,0.0,1.4985282312014985,667.3214285714286,0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/pointer_swizzling_ablation/3B/without_pointer_weight_rebind
pointer_swizzling_ablation,8B,with_pointer_swizzling,4096,0,0.0,0.0,0.5403736297668673,1850.5714285714287,0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/pointer_swizzling_ablation/8B/with_pointer_swizzling
pointer_swizzling_ablation,8B,without_pointer_operator_rebind,4096,0,0.0,0.0,0.6858038600960126,1458.142857142857,0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/pointer_swizzling_ablation/8B/without_pointer_operator_rebind
pointer_swizzling_ablation,8B,without_pointer_weight_rebind,4096,0,0.0,0.0,0.6358578403542637,1572.6785714285713,0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/pointer_swizzling_ablation/8B/without_pointer_weight_rebind
