model,context_len,bandwidth_mbps,state_MB,avg_transfer_ms,avg_transfer_mbps,repeats
3B,128,100,1.125,161.556,58.573,2
3B,128,1000,1.125,118.266,79.845,2
3B,256,100,2.25,265.306,71.154,2
3B,256,1000,2.25,117.286,160.933,2
3B,512,100,4.5,454.159,83.12,2
3B,512,1000,4.5,144.43,261.62,2
3B,1024,100,9.0,853.305,88.477,2
3B,1024,1000,9.0,192.509,392.679,2
3B,2048,100,18.0,1653.267,91.331,2
3B,2048,1000,18.0,274.943,549.663,2
3B,4096,100,36.0,3220.209,93.78,2
3B,4096,1000,36.0,415.962,726.028,2
3B,8192,100,72.0,6378.921,94.684,2
3B,8192,1000,72.0,734.284,822.546,2
3B,16384,100,144.0,12696.034,95.145,2
3B,16384,1000,144.0,1363.157,886.173,2
8B,128,100,1.375,191.017,60.386,2
8B,128,1000,1.375,117.383,98.358,2
8B,256,100,2.75,303.419,76.03,2
8B,256,1000,2.75,135.072,171.179,2
8B,512,100,5.5,563.363,81.918,2
8B,512,1000,5.5,160.348,287.979,2
8B,1024,100,11.0,1029.682,89.615,2
8B,1024,1000,11.0,211.537,436.351,2
8B,2048,100,22.0,2000.895,92.234,2
8B,2048,1000,22.0,294.663,626.539,2
8B,4096,100,44.0,3927.683,93.974,2
8B,4096,1000,44.0,495.021,745.893,2
8B,8192,100,88.0,7782.801,94.85,2
8B,8192,1000,88.0,873.11,845.56,2
8B,16384,100,176.0,15497.154,95.269,2
8B,16384,1000,176.0,1646.027,896.947,2
